X,Y,Z,f=1/p
10.324,-0.57961154,-4.4603715,0
9.842786,-0.66101086,-4.0054927,0
9.445366,-0.69931644,-4.163503,0
9.205956,-0.8429624,-4.4196715,0
9.007246,-0.9578791,-4.1970205,0
8.554761,-1.0847664,-6.6485777,0
8.865994,-1.0225198,-5.9207716,0
9.086251,-0.91717947,-4.065345,0
9.574647,-1.147013,-3.8546643,0
10.644809,-1.0584313,-4.8577914,0
11.49232,-0.5317295,-5.79149,0
12.756404,0.22241156,-5.9207716,0
13.139461,0.65095526,-6.3014336,0
12.938356,0.4306981,-7.165703,0
13.647009,0.44027454,-6.7922235,0
14.9206705,0.95261157,-5.0708666,0
15.61017,1.4912839,-2.8419604,0
15.009252,1.5583186,-1.0056869,0
13.735591,1.2470858,0.07405169,0
12.787528,0.9214884,-0.20605788,0
11.621602,0.6198319,-0.8620409,0
10.917736,0.59349686,-0.28506312,0
10.649597,0.63898474,0.663,0
10.5011635,0.70362544,1.9629956,0
9.878698,0.5216739,2.240711,0
8.573915,0.36605752,1.2974361,0
6.878892,0.1410122,0.6773646,0
5.4903145,0.088342026,0.5049895,0
4.796026,0.17213549,0.56723607,0
4.7553263,0.62222606,1.6613392,0
5.2939987,1.0196465,2.920635,0
5.6291723,1.4481901,2.5926435,0
5.5405903,1.9940448,2.6357372,0
5.145564,2.0850205,3.9812207,0
4.805602,1.907857,5.2548814,0
5.0952883,1.5870478,6.0856333,0
7.8604727,2.7601562,6.097604,0
6.4192247,2.7960677,8.010489,0
3.3475962,0.7467192,9.049528,0
3.2757733,0.63898474,9.391884,0
2.9166584,0.62222606,9.73424,0
2.5359967,0.61743784,9.485254,0
2.057177,0.50012696,9.521165,0
2.0116892,0.58152634,9.892251,0
1.8824079,0.8065717,10.203483,0
1.8848019,0.8736063,9.731846,0
2.0619652,1.2159625,8.76463,0
1.3197947,0.6844726,9.25542,0
0.56325936,0.55040306,9.913798,0
0.5153774,0.43548638,10.035897,0
0.6183237,0.43548638,10.055049,0
0.5824122,0.37084568,10.292065,0
0.52495384,0.37563384,10.232213,0
0.8385807,0.41393942,10.086173,0
0.99180305,0.2942345,9.885068,0
1.1139021,0.29184043,9.688752,0
1.621451,0.028489575,9.432584,0
1.3557061,-0.4287833,8.726325,0
1.5472339,0.3612693,9.217115,0
3.3236551,0.117071226,9.205144,0
3.6995287,0.22480567,9.047134,0
4.6906853,0.282264,7.478999,0
5.0114946,0.63898474,7.0791845,0
4.441699,0.47858012,6.9786325,0
4.5733747,0.46182144,6.583606,0
5.6363544,0.8233304,6.123939,0
6.5916004,1.4529784,4.857461,0
6.893256,1.591836,4.2852716,0
7.276313,1.5583186,3.9500976,0
7.7982264,1.496072,3.8519394,0
7.9346895,1.5415599,3.5646477,0
8.372809,1.7666053,3.3611493,0
8.126218,1.7426642,2.745866,0
7.249977,1.2853913,1.8600494,0
7.340953,0.7467192,0.93832135,0
7.7982264,0.9765526,-1.1158154,0
8.545185,1.0771048,-1.8148923,0
9.557888,1.517619,-0.5579903,0
10.27133,1.4577665,-1.1158154,0
10.647203,1.6109889,-2.293712,0
10.659174,1.3380616,-2.8156254,0
10.8411255,1.4338255,-1.9226267,0
11.037441,1.4098845,-0.70881855,0
11.516261,1.6708412,-0.8907702,0
12.619942,1.8312459,-1.9561441,0
13.663768,1.8934925,-2.3607469,0
13.606309,1.8671575,-2.8706899,0
12.564877,1.2853913,-3.265716,0
11.580902,0.5527972,-3.8642406,0
11.023077,-0.10797406,-4.3143315,0
10.965618,-0.27795509,-6.155393,0
11.343886,0.5192798,-13.019274,0
9.531553,0.35887516,-7.1369734,0
8.698407,0.23198797,-3.4907613,0
9.445366,-0.11755046,-3.773265,0
10.774091,-0.28034917,-5.516169,0
12.052539,0.3109932,-6.998116,0
12.624729,1.1585041,-7.4482064,0
12.691764,2.0634735,-6.5935135,0
12.885686,2.776915,-5.030167,0
13.603915,3.09533,-4.180262,0
14.101889,3.1312416,-3.8067827,0
13.785868,2.8104322,-2.755773,0
12.844986,2.3483713,-1.4414129,0
12.057327,1.8958864,-0.63938975,0
11.401344,1.4505843,0.615118,0
10.87225,1.2351154,2.3316867,0
10.012767,1.1010457,3.8112397,0
8.631372,0.4666096,4.7186036,0
7.9993296,-0.7735335,4.450464,0
8.102277,-1.5923153,5.1256,0
7.7000675,-1.7383553,5.3075514,0
7.599516,-2.1597166,4.9891367,0
8.837265,-2.0041003,3.6604116,0
7.637821,-1.295447,3.6149237,0
5.6531134,-1.1206778,3.8495455,0
4.863061,-0.26837867,3.8543334,0
6.553294,1.3883376,4.306818,0
5.9739227,1.8144872,5.6475134,0
5.8542175,2.3124597,6.3968663,0
4.50634,2.247819,6.851745,0
2.854412,1.6708412,7.98176,0
2.8951116,1.6971763,8.295387,0
2.397139,1.3907317,8.654502,0
1.4754109,0.69644314,9.29612,0
0.7667578,0.49055064,9.454131,0
0.9846208,0.595891,9.578624,0
1.3221887,0.6078614,9.810851,0
1.0660201,0.4378804,9.509195,0
0.9271624,0.354087,9.427795,0
1.231213,0.42590994,9.492436,0
1.4155585,0.50012696,9.885068,0
0.9941972,0.258323,10.421346,0
0.44834268,0.023701385,11.072541,0
0.6111414,0.15058859,10.895378,0
-0.03526528,-1.8436956,11.027053,0
1.1785429,0.98373497,10.222636,0
1.789038,0.77305424,9.20275,0
1.8584669,0.58631456,9.166839,0
2.0428123,-0.002633721,9.217115,0
2.0499947,-0.55567056,9.377519,0
2.3301044,-0.8022627,9.456525,0
2.6916132,-0.7735335,9.147686,0
4.594921,-0.30907837,6.899627,0
6.0241985,0.7108077,6.600365,0
6.3330374,0.6126497,6.214915,0
6.1534796,0.5120975,5.6211786,0
6.0816574,0.5599795,4.4600406,0
6.232485,0.5168857,3.330026,0
6.189391,0.052430555,3.0451283,0
7.0105677,-0.4431479,2.6548903,0
8.432662,-0.6562227,1.9294783,0
8.681648,-0.41681278,1.3141948,0
8.861206,-0.6801637,1.0723909,0
9.701534,-0.20134391,2.4944854,0
10.740573,0.57194996,3.2677796,0
11.501897,0.7012313,2.5423675,0
11.765247,1.177657,1.8696257,0
